,Name,Tweets Ago,Tweet,Compound,Positive,Negative,Neutral,Date
379,Fox News,80,"H.R. McMaster: ""The rogue regimes of Iran and North Korea are violating the sovereignty of their neighbors, pursuin… https://t.co/f6v7IGIgQF",-0.5423,0.0,0.163,0.837,Sat Dec 02 21:00:21 +0000 2017
380,Fox News,81,"H.R. McMaster: ""Reagan assertively declared that it was Communism that would lie on the ash-heap of history, not de… https://t.co/CA97f6EpWo",0.0,0.0,0.0,1.0,Sat Dec 02 20:59:06 +0000 2017
381,Fox News,82,"H.R. McMaster: ""Our Founders believed that the greatest wisdom of our nation rests in the hearts and in the minds o… https://t.co/xTZsiHd4OR",0.8225,0.275,0.0,0.725,Sat Dec 02 20:57:42 +0000 2017
382,Fox News,83,"H.R. McMaster: ""[Ronald Reagan] secured our nation, helped bring down the Berlin Wall, and ensured that freedom and… https://t.co/p73aw6mhHX",0.7845,0.289,0.0,0.711,Sat Dec 02 20:55:59 +0000 2017
383,Fox News,84,Awaiting remarks from National Security Adviser H.R. McMaster at #RNDF. https://t.co/v9ex4nFBL1,0.34,0.194,0.0,0.806,Sat Dec 02 20:44:49 +0000 2017
384,Fox News,85,"RT @FoxBusiness: DIUx's Raj Shah: ""If you look at all venture deals in the United States in 2015, 12% had an investor from China. That's up…",0.4215,0.101,0.0,0.899,Sat Dec 02 20:44:09 +0000 2017
385,Fox News,86,"RT @FoxBusiness: .@AmbJohnBolton on China's access to U.S. tech: ""We are in an increasingly threatening international environment, that the…",-0.5267,0.0,0.159,0.841,Sat Dec 02 20:44:06 +0000 2017
386,Fox News,87,Trump's USDA Relaxes Obama-Era School Lunch Restrictions    https://t.co/xmc5xGGqDe,0.3612,0.263,0.0,0.737,Sat Dec 02 20:39:45 +0000 2017
387,Fox News,88,"TOMORROW on @NextRevFNC, @SteveHiltonx talks to @DarrellIssa - Tune in at 9p ET on Fox News Channel! https://t.co/vf9Eo9futN",0.0,0.0,0.0,1.0,Sat Dec 02 20:34:03 +0000 2017
388,Fox News,89,Trump laments Flynn's lies to FBI about Russia contacts: 'There was nothing to hide!' https://t.co/60j65Qqx2R,-0.68,0.0,0.301,0.699,Sat Dec 02 20:32:02 +0000 2017
389,Fox News,90,"Earlier today, President @realDonaldTrump tweeted about firing General Mike Flynn, and claimed his former National… https://t.co/BBnGgFX0rn",-0.34,0.0,0.138,0.862,Sat Dec 02 20:25:01 +0000 2017
390,Fox News,91,".@SecAFOfficial: ""We are low on readiness... We need to restore the readiness of the Force so we can win any fight.… https://t.co/EJA9nzBwV5",0.7322,0.291,0.074,0.635,Sat Dec 02 20:23:06 +0000 2017
391,Fox News,92,TODAY at 4p ET - @BretBaier talks to National Security Adviser H.R. McMaster at @Reagan_Library - For full live cov… https://t.co/F2XG6AXGeW,0.34,0.118,0.0,0.882,Sat Dec 02 20:17:30 +0000 2017
392,Fox News,93,"Trump takes victory lap after Senate passes tax bill, calls it 'largest tax decrease ... by far' https://t.co/uL6UIuFW5P",0.0,0.0,0.0,1.0,Sat Dec 02 20:15:15 +0000 2017
393,Fox News,94,"Today on ""The Cost of Freedom,"" Florida @AGPamBondi reflected on what will happen next with the illegal immigrant w… https://t.co/T8kuvjqBgv",-0.5574,0.0,0.159,0.841,Sat Dec 02 20:08:51 +0000 2017
394,Fox News,95,"Earlier, President @realDonaldTrump tweeted about firing General Mike Flynn, and claimed his former National Securi… https://t.co/a8S40Y1XVx",-0.34,0.0,0.138,0.862,Sat Dec 02 20:01:29 +0000 2017
395,Fox News,96,RT @FoxBusiness: L3 Technologies Michael Strianese when asked 'Does Wall St. factor the risk of the current and future critical workforce s…,-0.5267,0.0,0.18,0.82,Sat Dec 02 19:56:33 +0000 2017
396,Fox News,97,Satellite photos show North Korea apparently prepping to reuse launch site https://t.co/5mHAk9SvWN,0.0,0.0,0.0,1.0,Sat Dec 02 19:53:14 +0000 2017
397,Fox News,98,"At a event with President @realDonaldTrump in New York City, @GOPChairwoman touted the @GOPs massive fundraising su… https://t.co/L6YO8ayVcj",-0.0516,0.0,0.07,0.93,Sat Dec 02 19:46:14 +0000 2017
398,Fox News,99,"Trump's USDA Relaxes Obama-Era School Lunch Restrictions
https://t.co/xmc5xGGqDe",0.3612,0.263,0.0,0.737,Sat Dec 02 19:38:29 +0000 2017
399,Fox News,100,RT @FoxBusiness: .@jpmorgan Exec. Dir. Michael Leskinen explains how defense companies have been impacted by Donald Trump’s victory during…,0.128,0.077,0.0,0.923,Sat Dec 02 19:38:27 +0000 2017
400,The New York Times,1,"Senators received the nearly 500-page tax bill containing major changes hours before the vote, prompting anger from… https://t.co/eG17HzqD3S",-0.5719,0.0,0.179,0.821,Sun Dec 03 01:36:04 +0000 2017
401,The New York Times,2,Met Opera to Investigate James Levine Over Sexual Abuse Accusation https://t.co/U9CL60tTn4,-0.7351,0.0,0.408,0.592,Sun Dec 03 01:30:02 +0000 2017
402,The New York Times,3,"Tax Bill Offers Last-Minute Breaks for Developers, Banks and Oil Industry https://t.co/hWyDLgB9ah",0.0,0.0,0.0,1.0,Sun Dec 03 01:16:46 +0000 2017
403,The New York Times,4,"Elon Musk has turned on the world's biggest battery, capable of powering 30,000 homes in South Australia https://t.co/WNf2UwTliJ",0.3818,0.133,0.0,0.867,Sun Dec 03 01:09:58 +0000 2017
404,The New York Times,5,Opinion: The Starving Lands https://t.co/g2zzoVov88,-0.4215,0.0,0.412,0.588,Sun Dec 03 00:48:31 +0000 2017
405,The New York Times,6,"Prince Harry designed the engagement ring which includes two diamonds from his mother, Princess Diana https://t.co/0jSPpAcS6u",0.4588,0.167,0.0,0.833,Sun Dec 03 00:44:42 +0000 2017
406,The New York Times,7,Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/NZj8OIEFBe,0.0,0.0,0.0,1.0,Sun Dec 03 00:27:38 +0000 2017
407,The New York Times,8,Many of the last-minute changes in the tax bill were meant to convince a handful of holdout GOP senators https://t.co/o36TxVg7ai,0.25,0.1,0.0,0.9,Sun Dec 03 00:00:11 +0000 2017
408,The New York Times,9,"As Roy Moore denies claims of sexual misconduct, he has vilified Gloria Allred, the lawyer representing an accuser https://t.co/jQ4MiwVYvz",-0.4215,0.0,0.135,0.865,Sat Dec 02 23:46:02 +0000 2017
409,The New York Times,10,"Sarah Ward and Jonathan Rupp married on a farm in Georgia. One of her horses, Bling Bling, was their ringbearer. https://t.co/VUfCVuAEFF",0.0,0.0,0.0,1.0,Sat Dec 02 23:36:09 +0000 2017
410,The New York Times,11,"ABC News has suspended Brian Ross for 4 weeks over ""a serious error"" in a report about Trump and Michael Flynn https://t.co/5x1CwYwx5U",-0.7269,0.0,0.295,0.705,Sat Dec 02 23:26:05 +0000 2017
411,The New York Times,12,"Before the draw for the 2018 World Cup, Russia's deputy prime minister fended off questions about doping https://t.co/cohnqCfoRr",0.0,0.0,0.0,1.0,Sat Dec 02 23:16:04 +0000 2017
412,The New York Times,13,We scoured the internet for political writing from the right and left on reactions to Michael Flynn’s guilty plea https://t.co/4fGnleO05z,-0.4215,0.0,0.128,0.872,Sat Dec 02 23:06:06 +0000 2017
413,The New York Times,14,RT @nytmike: Emails we obtained from inside the Trump transition team show just how much Trump’s aides were concerned about sanctions on De…,0.0,0.0,0.0,1.0,Sat Dec 02 22:56:03 +0000 2017
414,The New York Times,15,The College Football Playoff picture is taking shape with 4 conference championship games. Live updates: https://t.co/bK1HGUieUH,0.4404,0.172,0.0,0.828,Sat Dec 02 22:46:01 +0000 2017
415,The New York Times,16,"Despite differences, the House and Senate versions of the Republican tax bill share many core elements https://t.co/rtCJzLTjQl",0.296,0.121,0.0,0.879,Sat Dec 02 22:36:01 +0000 2017
416,The New York Times,17,Our 25 most popular recipes of 2017 https://t.co/h4upEQNgMC https://t.co/RZoVYOCUIo,0.4754,0.279,0.0,0.721,Sat Dec 02 22:26:05 +0000 2017
417,The New York Times,18,"Fed-up straphangers are embracing the East River Ferry, and real-estate developers are taking notice https://t.co/PhZMQc83S6",0.0,0.0,0.0,1.0,Sat Dec 02 22:16:02 +0000 2017
418,The New York Times,19,"Even in a whirlwind presidency, it has been a dizzying span of hours for the Trump administration https://t.co/YRpHM57bPE",0.0,0.0,0.0,1.0,Sat Dec 02 22:06:06 +0000 2017
419,The New York Times,20,Senator Bob Corker of Tennessee was the only Republican to vote no to the GOP tax bill. See how each senator voted. https://t.co/N5C1aa1XOP,-0.296,0.0,0.091,0.909,Sat Dec 02 21:56:02 +0000 2017
420,The New York Times,21,"Senators received the nearly 500-page tax bill containing major changes hours before the vote, prompting anger from… https://t.co/eG17HzqD3S",-0.5719,0.0,0.179,0.821,Sun Dec 03 01:36:04 +0000 2017
421,The New York Times,22,Met Opera to Investigate James Levine Over Sexual Abuse Accusation https://t.co/U9CL60tTn4,-0.7351,0.0,0.408,0.592,Sun Dec 03 01:30:02 +0000 2017
422,The New York Times,23,"Tax Bill Offers Last-Minute Breaks for Developers, Banks and Oil Industry https://t.co/hWyDLgB9ah",0.0,0.0,0.0,1.0,Sun Dec 03 01:16:46 +0000 2017
423,The New York Times,24,"Elon Musk has turned on the world's biggest battery, capable of powering 30,000 homes in South Australia https://t.co/WNf2UwTliJ",0.3818,0.133,0.0,0.867,Sun Dec 03 01:09:58 +0000 2017
424,The New York Times,25,Opinion: The Starving Lands https://t.co/g2zzoVov88,-0.4215,0.0,0.412,0.588,Sun Dec 03 00:48:31 +0000 2017
425,The New York Times,26,"Prince Harry designed the engagement ring which includes two diamonds from his mother, Princess Diana https://t.co/0jSPpAcS6u",0.4588,0.167,0.0,0.833,Sun Dec 03 00:44:42 +0000 2017
426,The New York Times,27,Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/NZj8OIEFBe,0.0,0.0,0.0,1.0,Sun Dec 03 00:27:38 +0000 2017
427,The New York Times,28,Many of the last-minute changes in the tax bill were meant to convince a handful of holdout GOP senators https://t.co/o36TxVg7ai,0.25,0.1,0.0,0.9,Sun Dec 03 00:00:11 +0000 2017
428,The New York Times,29,"As Roy Moore denies claims of sexual misconduct, he has vilified Gloria Allred, the lawyer representing an accuser https://t.co/jQ4MiwVYvz",-0.4215,0.0,0.135,0.865,Sat Dec 02 23:46:02 +0000 2017
429,The New York Times,30,"Sarah Ward and Jonathan Rupp married on a farm in Georgia. One of her horses, Bling Bling, was their ringbearer. https://t.co/VUfCVuAEFF",0.0,0.0,0.0,1.0,Sat Dec 02 23:36:09 +0000 2017
430,The New York Times,31,"ABC News has suspended Brian Ross for 4 weeks over ""a serious error"" in a report about Trump and Michael Flynn https://t.co/5x1CwYwx5U",-0.7269,0.0,0.295,0.705,Sat Dec 02 23:26:05 +0000 2017
431,The New York Times,32,"Before the draw for the 2018 World Cup, Russia's deputy prime minister fended off questions about doping https://t.co/cohnqCfoRr",0.0,0.0,0.0,1.0,Sat Dec 02 23:16:04 +0000 2017
432,The New York Times,33,We scoured the internet for political writing from the right and left on reactions to Michael Flynn’s guilty plea https://t.co/4fGnleO05z,-0.4215,0.0,0.128,0.872,Sat Dec 02 23:06:06 +0000 2017
433,The New York Times,34,RT @nytmike: Emails we obtained from inside the Trump transition team show just how much Trump’s aides were concerned about sanctions on De…,0.0,0.0,0.0,1.0,Sat Dec 02 22:56:03 +0000 2017
434,The New York Times,35,The College Football Playoff picture is taking shape with 4 conference championship games. Live updates: https://t.co/bK1HGUieUH,0.4404,0.172,0.0,0.828,Sat Dec 02 22:46:01 +0000 2017
435,The New York Times,36,"Despite differences, the House and Senate versions of the Republican tax bill share many core elements https://t.co/rtCJzLTjQl",0.296,0.121,0.0,0.879,Sat Dec 02 22:36:01 +0000 2017
436,The New York Times,37,Our 25 most popular recipes of 2017 https://t.co/h4upEQNgMC https://t.co/RZoVYOCUIo,0.4754,0.279,0.0,0.721,Sat Dec 02 22:26:05 +0000 2017
437,The New York Times,38,"Fed-up straphangers are embracing the East River Ferry, and real-estate developers are taking notice https://t.co/PhZMQc83S6",0.0,0.0,0.0,1.0,Sat Dec 02 22:16:02 +0000 2017
438,The New York Times,39,"Even in a whirlwind presidency, it has been a dizzying span of hours for the Trump administration https://t.co/YRpHM57bPE",0.0,0.0,0.0,1.0,Sat Dec 02 22:06:06 +0000 2017
439,The New York Times,40,Senator Bob Corker of Tennessee was the only Republican to vote no to the GOP tax bill. See how each senator voted. https://t.co/N5C1aa1XOP,-0.296,0.0,0.091,0.909,Sat Dec 02 21:56:02 +0000 2017
440,The New York Times,41,"For the first time in the U.S., a woman who had a uterus transplant has given birth https://t.co/ayAsK0gv1S",0.0,0.0,0.0,1.0,Sat Dec 02 21:46:03 +0000 2017
441,The New York Times,42,"Claims of sexual misconduct grip Spelman and Morehouse, 2 historically black schools linked by history and geography https://t.co/477zhci04t",0.0,0.0,0.0,1.0,Sat Dec 02 21:36:01 +0000 2017
442,The New York Times,43,Here are excerpts from Michael Flynn's court documents and what they mean https://t.co/3l6nKp0jdx,0.0,0.0,0.0,1.0,Sat Dec 02 21:26:06 +0000 2017
443,The New York Times,44,Emails from Trump officials dispute the White House's claim that Michael Flynn went rogue with his Russia contacts https://t.co/spUYfpdV2O,-0.4019,0.0,0.13,0.87,Sat Dec 02 21:15:09 +0000 2017
444,The New York Times,45,Opinion: The racial biases associated with AI terrifies this mother of 2 young children https://t.co/ZqNyplyLqu,-0.5574,0.0,0.217,0.783,Sat Dec 02 20:59:06 +0000 2017
445,The New York Times,46,The first test of Prince Harry and Meghan Markle's fairy-tale romance? A British citizenship exam. Could you ace it? https://t.co/KRkAfS1TN0,0.6072,0.18,0.0,0.82,Sat Dec 02 20:41:04 +0000 2017
446,The New York Times,47,"A memo. An executive visit to ""NBC Nightly News."" NBC News does in-house damage control after firing Matt Lauer. https://t.co/9XY3tfam3H",-0.6808,0.0,0.248,0.752,Sat Dec 02 20:26:05 +0000 2017
447,The New York Times,48,The Republican tax plan could mean leaving government leaner and the safety net skimpier for millions of Americans https://t.co/36UUE8zWFe,0.4215,0.135,0.0,0.865,Sat Dec 02 20:11:04 +0000 2017
448,The New York Times,49,“Everybody’s bawling.” A girls basketball team run by a juvenile court ended its losing streak at 312 games. https://t.co/qW9oqSiwFS,-0.3818,0.0,0.14,0.86,Sat Dec 02 19:56:02 +0000 2017
449,The New York Times,50,"President Trump tweeted that he fired Michael Flynn “because he lied to the vice president and the FBI"" https://t.co/SX6CRM1WmT",-0.7351,0.0,0.267,0.733,Sat Dec 02 19:41:03 +0000 2017
450,The New York Times,51,RT @nytvideo: Is it ever O.K. to joke about rape? We asked female comedians how stand-up is changing in the post-Weinstein era. https://t.c…,-0.3182,0.151,0.162,0.687,Sat Dec 02 19:31:02 +0000 2017
451,The New York Times,52,"Like other Washington traditions that Trump has disrupted, the White House holiday party was no exception https://t.co/zgbV5bwMUB",0.6908,0.342,0.095,0.563,Sat Dec 02 19:21:03 +0000 2017
452,The New York Times,53,See how your senator voted on the GOP tax bill https://t.co/A9FtgXCn1b,0.0,0.0,0.0,1.0,Sat Dec 02 19:06:06 +0000 2017
453,The New York Times,54,"RT @nytmike: A rare public statement on the record from the Special Counsel's office to the media: ""Immediately upon learning of the allega…",0.4019,0.114,0.0,0.886,Sat Dec 02 18:56:04 +0000 2017
454,The New York Times,55,Opinion: Who might now be swept up in the investigation? The next obvious candidate is Jared Kushner. https://t.co/WIdbiyoXM6,0.0,0.0,0.0,1.0,Sat Dec 02 18:46:02 +0000 2017
455,The New York Times,56,Most Britons find the British citizenship test almost impossible to pass. Will Meghan Markle ace it? https://t.co/5LkIy5gvey,0.0,0.0,0.0,1.0,Sat Dec 02 18:36:01 +0000 2017
456,The New York Times,57,"According to the government of Myanmar, the Rohingya do not exist. How?
 https://t.co/oSMMdu6Gys",0.0,0.0,0.0,1.0,Sat Dec 02 18:21:05 +0000 2017
457,The New York Times,58,"The definitive French dishes that every modern cook should master https://t.co/WxvnqvGlT7

@SamSifton, @nytfood edi… https://t.co/Cl6n0ZtCYY",0.0,0.0,0.0,1.0,Sat Dec 02 18:06:05 +0000 2017
458,The New York Times,59,"In a big win for President Trump, the Senate passed its tax plan. It now must be reconciled with the House version. https://t.co/J4DsgU571z",0.5859,0.153,0.0,0.847,Sat Dec 02 17:56:05 +0000 2017
459,The New York Times,60,"The agent, Peter Strzok, was reassigned this summer from Robert Mueller’s investigation to the FBI's human resources department",0.0,0.0,0.0,1.0,Sat Dec 02 17:46:01 +0000 2017
460,The New York Times,61,This lentil soup will keep you warm all winter long https://t.co/P60FkbL2Gi,0.2263,0.16,0.0,0.84,Sat Dec 02 17:36:07 +0000 2017
461,The New York Times,62,Trump's team hopes that the tax plan may resonate more powerfully with the public than the news of Michael Flynn https://t.co/Dzzv2C5Yl4,0.4215,0.123,0.0,0.877,Sat Dec 02 17:21:03 +0000 2017
462,The New York Times,63,"Step onto the Great Wall of China, one of the new Seven Wonders of the World, in 360° video https://t.co/TeONS93k8A",0.6249,0.177,0.0,0.823,Sat Dec 02 17:07:36 +0000 2017
463,The New York Times,64,The FBI agent was cut from the Russia inquiry over possible anti-Trump political views expressed in text messages https://t.co/F3X2GmgDiF,-0.2732,0.0,0.104,0.896,Sat Dec 02 16:51:10 +0000 2017
464,The New York Times,65,Breaking News: An FBI agent was removed after questions about whether he expressed anti-Trump political views https://t.co/2pV8jcLaXY,0.0,0.0,0.0,1.0,Sat Dec 02 16:48:14 +0000 2017
465,The New York Times,66,"""I want you to take a look at this, folks. This is your government at work,"" said Senator Jon Tester, Democrat of M… https://t.co/vpCb0tR9VV",0.0772,0.056,0.0,0.944,Sat Dec 02 16:41:04 +0000 2017
466,The New York Times,67,Opinion: She wanted to get sterilized. Her doctor refused. https://t.co/fEorL3z3S9,-0.296,0.0,0.196,0.804,Sat Dec 02 16:26:06 +0000 2017
467,The New York Times,68,Members of Mexico’s landmark anti-corruption drive say the government has thwarted them from making serious headway https://t.co/wtf7r9BJOr,-0.0258,0.073,0.136,0.791,Sat Dec 02 16:11:06 +0000 2017
468,The New York Times,69,Novelist Emma Cline had a banner 2016. But a lawsuit by a former boyfriend has overshadowed that success. https://t.co/7lWZNtz43U,0.4215,0.189,0.097,0.714,Sat Dec 02 15:56:02 +0000 2017
469,The New York Times,70,How Ireland Moved to the Left: ‘The Demise of the Church’ https://t.co/7aweHoRh5T,0.0,0.0,0.0,1.0,Sat Dec 02 15:48:27 +0000 2017
470,The New York Times,71,"With the passage of a Senate tax plan, Republicans are close to a big victory. But will it help them politically? https://t.co/KInO87k6Xq",0.4019,0.124,0.0,0.876,Sat Dec 02 15:41:02 +0000 2017
471,The New York Times,72,"The U.S. Senate passed the most sweeping tax rewrite in decades. The new Republican tax plan affects families, smal… https://t.co/6Jrs41sVbz",0.0,0.0,0.0,1.0,Sat Dec 02 15:26:01 +0000 2017
472,The New York Times,73,"Who gains from the U.S. Republican tax plan? Two economists, one from each side of the debate, make their cases. https://t.co/SX0F84ETVN",0.34,0.107,0.0,0.893,Sat Dec 02 15:12:04 +0000 2017
473,The New York Times,74,"Some colleges have more students from the top 1% than the bottom 60. Find yours. https://t.co/coxMm43wI6 

This was… https://t.co/yeeDxmUf9B",0.2023,0.091,0.0,0.909,Sat Dec 02 15:02:01 +0000 2017
474,The New York Times,75,Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/u5HLzR0SAh,0.0,0.0,0.0,1.0,Sat Dec 02 14:41:01 +0000 2017
475,The New York Times,76,"""Everyone else in the family has my husband’s last name and brown eyes. Even a toddler could tell I was an outsider… https://t.co/EIvAVlMheY",0.0,0.0,0.0,1.0,Sat Dec 02 14:21:01 +0000 2017
476,The New York Times,77,"Jay-Z in an interview with executive editor Dean Baquet: ""The strongest thing a man can do is cry.""… https://t.co/EsAyn24IEf",0.4404,0.146,0.0,0.854,Sat Dec 02 14:01:08 +0000 2017
477,The New York Times,78,"RT @nytopinion: The Senate tax bill is expected to add more than $1.4 trillion to the federal deficit, a debt that will be paid by the poor…",-0.6369,0.0,0.178,0.822,Sat Dec 02 13:41:05 +0000 2017
478,The New York Times,79,Opinion: 10 key takeaways from Michael Flynn’s guilty plea https://t.co/8pQvqNJx3L,-0.4215,0.0,0.237,0.763,Sat Dec 02 13:21:02 +0000 2017
479,The New York Times,80,Here's how each senator voted on the Republican tax bill https://t.co/zDHX5KEsOI,0.0,0.0,0.0,1.0,Sat Dec 02 13:02:06 +0000 2017
480,The New York Times,81,The 10 best books of 2017 https://t.co/949YQcMnnm,0.6369,0.412,0.0,0.588,Sat Dec 02 12:41:02 +0000 2017
481,The New York Times,82,These documents raise new questions about what then President-elect Trump knew about Michael Flynn’s conversations https://t.co/R3E14fyzuK,0.0,0.0,0.0,1.0,Sat Dec 02 12:21:04 +0000 2017
482,The New York Times,83,"RT @nytpolitics: The Senate passed the most sweeping tax overhaul in decades, a big win for President Trump. It now must be reconciled with…",0.5859,0.147,0.0,0.853,Sat Dec 02 12:02:07 +0000 2017
483,The New York Times,84,Scallops see their world with hundreds of eyes — and each one is amazing https://t.co/B9g4g1vimR,0.5859,0.226,0.0,0.774,Sat Dec 02 11:39:48 +0000 2017
484,The New York Times,85,A reporter returns to Ohio to discuss the challenges of teaching climate change https://t.co/RmvKHmr2JT,0.0772,0.098,0.0,0.902,Sat Dec 02 11:20:31 +0000 2017
485,The New York Times,86,"Experience the new Seven Wonders of the World, in 360° video https://t.co/FwHMgXhOER",0.0,0.0,0.0,1.0,Sat Dec 02 11:00:42 +0000 2017
486,The New York Times,87,The Getaway: Sending Out an SOS: The Rise of Travel Security Apps https://t.co/YRLNLWH6S0,0.34,0.167,0.0,0.833,Sat Dec 02 10:42:53 +0000 2017
487,The New York Times,88,Wine School: Your Next Lesson: Amontillado https://t.co/5q5Tb9fAzh,0.0,0.0,0.0,1.0,Sat Dec 02 10:39:48 +0000 2017
488,The New York Times,89,"RT @AKannapell: What We’re Reading: great work by @ProPublica @CBCRadioCanada @scrawford @connpost and more, via @AnnaDubenko @jessemckinle…",0.6249,0.204,0.0,0.796,Sat Dec 02 10:38:05 +0000 2017
489,The New York Times,90,Bali Volcano Evacuees Sneak Back into Danger Zone https://t.co/bGIULl4VNU,-0.5267,0.0,0.298,0.702,Sat Dec 02 10:36:37 +0000 2017
490,The New York Times,91,"RT @nytopinion: The votes for the bill by Susan Collins, John McCain and Jeff Flake were particularly disheartening. https://t.co/bzu0P5CQzu",-0.4754,0.0,0.147,0.853,Sat Dec 02 10:19:21 +0000 2017
491,The New York Times,92,Ban on Teflon Chemical Tied to Fewer Low-Weight Babies https://t.co/tSrBmmRLVa,-0.5574,0.0,0.286,0.714,Sat Dec 02 10:02:13 +0000 2017
492,The New York Times,93,Honduras Declares Curfew as Protests Over Vote Count Continue https://t.co/1MnX9ejPWd,-0.2263,0.0,0.174,0.826,Sat Dec 02 09:48:42 +0000 2017
493,The New York Times,94,How 41 people in Lithuania took over your Facebook feed https://t.co/PhMNyYOq6p,0.0,0.0,0.0,1.0,Sat Dec 02 09:30:39 +0000 2017
494,The New York Times,95,"Two Englishmen took a shared love of boat life and books, and turned it into London's quirkiest bookstore https://t.co/MGmQvmnQM6",0.765,0.292,0.0,0.708,Sat Dec 02 09:11:02 +0000 2017
495,The New York Times,96,A war criminal’s apparent suicide in court leaves a tribunal with one last mystery: How did he do it? https://t.co/r13etdD1td,-0.8555,0.0,0.344,0.656,Sat Dec 02 08:44:20 +0000 2017
496,The New York Times,97,Here are excerpts from Michael Flynn's court documents and what they mean https://t.co/S6lzBaX8CZ,0.0,0.0,0.0,1.0,Sat Dec 02 08:24:32 +0000 2017
497,The New York Times,98,"Mexico’s Government Is Blocking Its Own Anti-Corruption Drive, Commissioners Say https://t.co/TgIqGltUOJ",-0.3818,0.0,0.206,0.794,Sat Dec 02 08:05:54 +0000 2017
498,The New York Times,99,Playlist: The Playlist: The Hold Steady Get Revved Up and 9 More New Songs https://t.co/119ZBQFLHL,0.0,0.0,0.0,1.0,Sat Dec 02 08:02:21 +0000 2017
499,The New York Times,100,A bacterium that lives in the mouth is also hiding in cancer cells – and making scientists increasingly uneasy https://t.co/S8gZWqSYrI,-0.8481,0.0,0.38,0.62,Sat Dec 02 07:53:35 +0000 2017
